author_id,author_name,university,city,author_primary_macroarea,author_macroareas,author_topics,article_count,communityId,betweenness
36697947600,Lixandrão Filho A.L.,Universidade Estadual de Campinas,Campinas,Geosciences,Geosciences | Mathematics and Statistics | Computer Science | Physics | Engineering,Geochemistry and Petrology | Mathematics (miscellaneous) | Earth and Planetary Sciences (all) | Hardware and Architecture | Physics and Astronomy (all) | Geology | Materials Science (all),4,24422,3.0
36698967300,de Melo R.C.,Universidade de São Paulo,Sao Paulo,Medicine and Health,Medicine and Health,Medicine (all),1,5256,0.0
36699328700,Batista A.G.,Lunds Universitet,Lund,Biology,Biology | Medicine and Health | Chemistry | Engineering,"Agricultural and Biological Sciences (all) | Biochemistry, Genetics and Molecular Biology (all) | Medicine (all) | Food Science",3,23890,324.17701259142626
36699424000,Duque Oliva E.J.,Universidad Nacional de Colombia,Antioquia,Economics and Business,Economics and Business,Economics and Econometrics | Marketing,2,10045,0.3333333333333333
36699616300,Issicaba D.,Universidade Federal de Santa Catarina,Florianopolis,Engineering,Engineering | Geosciences,"Energy Engineering and Power Technology | Electrical and Electronic Engineering | Control and Systems Engineering | Renewable Energy, Sustainability and the Environment",2,5541,0.6666666666666666
36700133700,Pereira-Filho G.H.,Universidade Federal de São Paulo,Sao Paulo,Biology,Biology | Geosciences,"Ecology, Evolution, Behavior and Systematics | Ecology | Nature and Landscape Conservation",1,24505,0.0
36700317400,Pedronette D.C.G.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Computer Science,Computer Science | Engineering,Software | Signal Processing | Computer Vision and Pattern Recognition | Artificial Intelligence,2,9364,0.0
36700377800,Silva L.R.M.,Universidade Federal de Juiz de Fora,Juiz de Fora,Computer Science,Engineering | Computer Science,Control and Systems Engineering | Information Systems | Computer Science Applications | Electrical and Electronic Engineering,1,19894,0.0
36701137700,de Faria Barbosa R.,Universidade Federal de São Paulo,Sao Paulo,Biology,Biology,"Ecology, Evolution, Behavior and Systematics | Insect Science",1,8222,0.0
36701942400,Molozzi J.,Universidade Estadual de Campinas,Campinas,Geosciences,Geosciences | Social Sciences,"Environmental Science (all) | Pollution | Management, Monitoring, Policy and Law",1,2952,0.0
36704152400,Viviane Mariano F.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health | Biology | Engineering,Dentistry (all) | Oral Surgery | Cancer Research | Otorhinolaryngology | Oncology | Biotechnology | Bioengineering | Biomedical Engineering | Clinical Biochemistry | Cell Biology | Pathology and Forensic Medicine | Periodontics,6,23015,301145.238896389
36704343700,Catta-Preta C.M.C.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry,Drug Discovery,1,17541,0.0
36704408200,Costa F.S.,Universidade Estadual do Maranhão,Sao Luis,Mathematics and Statistics,Mathematics and Statistics | Physics | Computer Science,Statistical and Nonlinear Physics | Mathematical Physics | Applied Mathematics | Computational Mathematics | Modeling and Simulation | Numerical Analysis | Mathematics (all),4,9405,14097.89821902939
36705752600,Costa-Pereira R.,Universidade Estadual de Campinas,Campinas,Biology,Biology | Geosciences | Medicine and Health,"Ecology, Evolution, Behavior and Systematics | Animal Science and Zoology | Environmental Science (all) | Agricultural and Biological Sciences (all) | Medicine (all) | Biochemistry, Genetics and Molecular Biology (all) | Immunology and Microbiology (all)",10,2636,266462.0
36706127300,Marcano M.A.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health | Biology | Chemistry,"Dentistry (all) | Microbiology | Biochemistry | Pharmacology, Toxicology and Pharmaceutics (all) | Microbiology (medical) | Infectious Diseases | Pharmacology (medical) | Surgery | Complementary and Alternative Medicine | Neurology (clinical)",6,8961,158915.48081665707
36706446900,Prestes L.,Universidade do Estado do Amapá,Macapa,Biology,Biology | Medicine and Health,Parasitology | Veterinary (all) | Insect Science | Infectious Diseases,1,22196,0.0
36706632300,Parolin L.C.,Pontifícia Universidade Católica do Paraná,Curitiba,Biology,Biology,"Ecology, Evolution, Behavior and Systematics | Animal Science and Zoology",1,2636,0.0
36706663300,Villa A.,Baptist Health South Florida,Miami,Medicine and Health,Medicine and Health,Otorhinolaryngology | Dentistry (all),2,23015,2212.0788541851443
36707130500,Cantão L.A.P.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Tie: Computer Science | Mathematics and Statistics,Mathematics and Statistics | Computer Science,Applied Mathematics | Computational Mathematics | Modeling and Simulation | Numerical Analysis,1,2350,0.0
36707537800,Fugihara M.,Belge Smart Supply Chain,Sao Paulo,Computer Science,Computer Science,Software | Modeling and Simulation | Computer Science Applications,1,20047,0.0
36708447600,Serrani S.,Universidade Estadual de Campinas,Campinas,Philosophy and Humanities,Philosophy and Humanities,Language and Linguistics | Linguistics and Language | Literature and Literary Theory,1,2963,0.0
36713389600,Fachini C.,Instituto Agronomico de Campinas,Campinas,Tie: Economics and Business | Geosciences | Social Sciences | Undefined,Undefined | Geosciences | Economics and Business | Social Sciences,"Conservation | Geography, Planning and Development | Business, Management and Accounting (all) | Urban Studies",1,19537,0.0
36715155400,Franco E.M.C.,Universidade Estadual do Oeste do Paraná,Cascavel,Engineering,Engineering | Computer Science,Computer Science (all) | Materials Science (all) | Engineering (all),1,5541,0.0
36717493200,Alovisi A.M.T.,Universidade Federal de Lavras,Lavras,Tie: Biology | Geosciences,Geosciences | Biology,Environmental Science (all) | Agricultural and Biological Sciences (all),1,2408,0.0
36718625900,Granato D.C.,Laboratório Nacional de Biociências,Campinas,Medicine and Health,Medicine and Health,Hematology | Oncology | Geriatrics and Gerontology,1,3141,0.0
36720999400,Jesmer B.R.,Virginia Polytechnic Institute and State University,Blacksburg,Biology,Biology,"Ecology, Evolution, Behavior and Systematics | Animal Science and Zoology",1,2636,0.0
36721779500,Yang A.C.,Universidade de São Paulo,Sao Paulo,Tie: Computer Science | Mathematics and Statistics,Computer Science | Mathematics and Statistics | Medicine and Health | Biology | Geosciences | Undefined,"Applied Mathematics | Modeling and Simulation | Computational Mathematics | Neuroscience (all) | Biochemistry, Genetics and Molecular Biology (all) | Immunology and Microbiology (all) | Environmental Science (all) | Pharmacology | Numerical Analysis | Multidisciplinary",4,23442,0.3333333333333333
36727033700,de Aquino S.N.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Pathology and Forensic Medicine | Histology,1,23015,0.0
36728078700,Quispe Cabanillas J.G.,Fundação Hermínio Ometto,Araras,Medicine and Health,Medicine and Health,Complementary and Alternative Medicine | Neurology (clinical),1,8961,0.0
36730804700,Andrade-Vieira L.F.,Universidade Federal de Lavras,Lavras,Medicine and Health,Medicine and Health | Biology,Histology | Genetics | Genetics (clinical),1,2716,0.0
36731354900,Moehlecke V.,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,Tie: Medicine and Health | Social Sciences,Social Sciences | Medicine and Health,"Health (social science) | Public Health, Environmental and Occupational Health",1,18454,0.0
36731569600,Queiroz F.S.,Universidade Federal do Rio Grande do Norte,Natal,Undefined,Undefined,Multidisciplinary,2,2974,0.25
36752426600,Cunha T.A.,Integrated Geochemical Interpretation (IGI),Bideford,Geosciences,Geosciences,Geology,1,9661,0.0
36761694700,Tatagiba L.,Universidade Estadual de Campinas,Campinas,Social Sciences,Social Sciences | Philosophy and Humanities | Medicine and Health,"Sociology and Political Science | Cultural Studies | Public Health, Environmental and Occupational Health",5,2976,9.0
36761783000,Vašík P.,"Brno University of Technology, Faculty of Mechanical Engineering",Brno,Mathematics and Statistics,Mathematics and Statistics | Engineering,Mathematics (all) | Engineering (all),1,2350,0.0
36763791600,de Campos Vidal B.,Universidade Estadual de Campinas,Campinas,Biology,Medicine and Health | Biology,Cell Biology | Hematology | Histology | Animal Science and Zoology | Genetics | Plant Science,3,23239,159876.0
36764732300,Siani S.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health | Social Sciences,"Internal Medicine | Health Policy | Public Health, Environmental and Occupational Health",1,18085,0.0
36766757200,Bataee M.,"Curtin University, Malaysia",Miri,Engineering,Engineering | Geosciences,"Energy Engineering and Power Technology | Mechanical Engineering | Ocean Engineering | Safety, Risk, Reliability and Quality",2,5056,0.6666666666666666
36767009800,Faleiros M.M.,Universidade Estadual de Campinas,Campinas,Physics,Physics | Chemistry | Engineering,"Electronic, Optical and Magnetic Materials | Atomic and Molecular Physics, and Optics | Condensed Matter Physics | Spectroscopy | Physical and Theoretical Chemistry | Materials Chemistry",1,2981,0.0
36771292800,Gomes De Aguiar Veiga R.,Universidade Federal do ABC,Santo Andre,Tie: Chemistry | Physics,Physics | Chemistry | Engineering | Undefined,"Physical and Theoretical Chemistry | Physics and Astronomy (all) | Electronic, Optical and Magnetic Materials | Energy (all) | Surfaces, Coatings and Films",2,7630,0.5
36771726000,Estrada F.R.,Laboratorio Nacional de Luz Sincrotron,Campinas,Physics,Physics,Physics and Astronomy (all),2,2983,0.0
