author_id,nome,universidade,cidade,total_artigos_no_recorte,total_artigos_com_macroareas,macro_area_principal_no_recorte,macro_areas_no_recorte,num_macro_areas_no_recorte,macroarea_scores_no_recorte,macroarea_scores_por_tema_no_recorte,temas_no_recorte,total_temas_distintos_no_recorte,temas_no_recorte_com_contagem
57220336726,Silvino A.S.,Instituto Nacional de Pesquisas Espaciais,Sao Jose dos Campos,2,2,Geosciences,Geosciences,1,Geosciences:2,Geosciences:4,"Geography, Planning and Development | Environmental Science (miscellaneous)",2,"Geography, Planning and Development:2 | Environmental Science (miscellaneous):2"
57220395358,Pimenta R.J.G.,Universidade Estadual de Campinas,Campinas,1,1,Biology,Biology,1,Biology:1,Biology:1,Immunology and Microbiology (all),1,Immunology and Microbiology (all):1
57220423279,Duarte T.,Universidade Federal de Santa Maria,Santa Maria,1,1,Biology,Biology | Medicine and Health,2,Biology:1 | Medicine and Health:1,Biology:2 | Medicine and Health:1,Molecular Medicine | Molecular Biology,2,Molecular Medicine:1 | Molecular Biology:1
57220435044,Antunes H.F.,Centro Brasileiro de Analise E Planejamento,Sao Paulo,1,1,Social Sciences,Social Sciences,1,Social Sciences:1,Social Sciences:1,Religious Studies,1,Religious Studies:1
57220482175,dos Santos P.M.,Universidade Federal da Grande Dourados,Dourados,3,3,Chemistry,Chemistry | Engineering | Physics | Biology,4,Chemistry:3 | Engineering:2 | Physics:1 | Biology:1,Chemistry:5 | Engineering:4 | Physics:1 | Biology:1,Chemistry (all) | Materials Science (all) | Condensed Matter Physics | Energy Engineering and Power Technology | Electrochemistry | Electrical and Electronic Engineering | Materials Chemistry | Analytical Chemistry | Food Science,9,Chemistry (all):1 | Materials Science (all):1 | Condensed Matter Physics:1 | Energy Engineering and Power Technology:1 | Electrochemistry:1 | Electrical and Electronic Engineering:1 | Materials Chemistry:1 | Analytical Chemistry:1 | Food Science:1
57220509361,Bueno J.G.R.,Centro Nacional de Pesquisa em Energia e Materiais,Campinas,1,1,Biology,Biology | Engineering | Chemistry,3,Biology:1 | Engineering:1 | Chemistry:1,Biology:4 | Engineering:1 | Chemistry:1,Biotechnology | Bioengineering | Biochemistry | Applied Microbiology and Biotechnology,4,Biotechnology:1 | Bioengineering:1 | Biochemistry:1 | Applied Microbiology and Biotechnology:1
57220514923,Silveira F.M.,Universidad de la Republica,Montevideo,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,Medicine (all) | Dentistry (all),2,Medicine (all):1 | Dentistry (all):1
57220547846,Kroupin I.,London School of Economics and Political Science,London,1,1,Tie: Medicine and Health | Social Sciences,Social Sciences | Medicine and Health,2,Social Sciences:1 | Medicine and Health:1,Social Sciences:1 | Medicine and Health:1,Social Sciences (all) | Psychology (all),2,Social Sciences (all):1 | Psychology (all):1
57220548856,Roberto Sanches Mantovani J.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Engineering,Engineering | Computer Science,2,Engineering:1 | Computer Science:1,Engineering:2 | Computer Science:1,Computer Science (all) | Materials Science (all) | Engineering (all),3,Computer Science (all):1 | Materials Science (all):1 | Engineering (all):1
57220549411,Matthews S.,Permasense Ltd,,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,Clinical Biochemistry | Medical Laboratory Technology,2,Clinical Biochemistry:1 | Medical Laboratory Technology:1
57220554391,Souza É.M.S.,Universidade Estadual de Campinas,Campinas,1,1,Undefined,Undefined,1,Undefined:1,Undefined:1,Multidisciplinary,1,Multidisciplinary:1
57220576001,de Godoy N.A.,Universidade Estadual de Campinas,Campinas,1,1,Tie: Other/Unclassified | Undefined,Undefined | Other/Unclassified,2,Undefined:1 | Other/Unclassified:1,Undefined:1 | Other/Unclassified:1,Research and Theory | Fundamentals and Skills,2,Research and Theory:1 | Fundamentals and Skills:1
57220577249,Ligali F.C.,Nigerian Institute of Medical Research,Yaba,1,1,Medicine and Health,Medicine and Health | Biology,2,Medicine and Health:1 | Biology:1,Medicine and Health:2 | Biology:1,Oncology | Genetics | Cancer Research,3,Oncology:1 | Genetics:1 | Cancer Research:1
57220577624,Souza E.S.,Universidade Federal de Itajubá,Itajuba,1,1,Physics,Engineering | Physics,2,Engineering:1 | Physics:1,Engineering:1 | Physics:1,Engineering (miscellaneous) | Physics and Astronomy (miscellaneous),2,Engineering (miscellaneous):1 | Physics and Astronomy (miscellaneous):1
57220582214,Akinyemi A.O.,Universidade Federal de São Carlos,Sao Carlos,1,1,Medicine and Health,Medicine and Health | Biology,2,Medicine and Health:1 | Biology:1,Medicine and Health:2 | Biology:1,Oncology | Genetics | Cancer Research,3,Oncology:1 | Genetics:1 | Cancer Research:1
57220592976,Alabi Z.O.,Universidade Federal de São Carlos,Sao Carlos,1,1,Medicine and Health,Medicine and Health | Biology,2,Medicine and Health:1 | Biology:1,Medicine and Health:2 | Biology:1,Oncology | Genetics | Cancer Research,3,Oncology:1 | Genetics:1 | Cancer Research:1
57220600694,Rosini Silva Á.A.,Universidade Sao Francisco,Itatiba,1,1,Biology,Biology,1,Biology:1,Biology:2,"Ecology, Evolution, Behavior and Systematics | Plant Science",2,"Ecology, Evolution, Behavior and Systematics:1 | Plant Science:1"
57220602108,Videira H.,Universidade Estadual de Campinas,Campinas,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:1,Obstetrics and Gynecology,1,Obstetrics and Gynecology:1
57220605540,Staffa L.P.,Universidade Estadual de Campinas,Campinas,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:1,Dermatology,1,Dermatology:1
57220607113,Ribeiro J.,Universidade Estadual de Campinas,Campinas,1,1,Geosciences,Geosciences,1,Geosciences:1,Geosciences:1,Geophysics,1,Geophysics:1
57220613317,Dal Col L.S.B.,Universidade Estadual de Campinas,Campinas,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,Oncology | Cancer Research,2,Oncology:1 | Cancer Research:1
57220633770,Bezerra E.,Universidade Estadual de Campinas,Campinas,3,3,Philosophy and Humanities,Philosophy and Humanities | Mathematics and Statistics,2,Philosophy and Humanities:3 | Mathematics and Statistics:1,Philosophy and Humanities:3 | Mathematics and Statistics:1,Philosophy | Logic | Applied Mathematics,3,Philosophy:2 | Logic:1 | Applied Mathematics:1
