author_id_source,author_name_source,macroarea_source,author_id_target,author_name_target,macroarea_target,same_macroarea,edge_betweenness
57219358729,Santana I.M.,Chemistry,58555254300,Carlos C.F.,Chemistry,True,4011.044481
57219358729,Santana I.M.,Chemistry,58554571900,Antonia A.R.,Chemistry,True,4011.044481
55392690000,dos S. Freitas L.,Chemistry,57219358729,Santana I.M.,Chemistry,True,4011.044481
26633831600,Grama L.,Mathematics and Statistics,55315785700,Prado R.F.,Mathematics and Statistics,True,4008.731954
26633831600,Grama L.,Mathematics and Statistics,6507409955,Negreiros C.J.C.,Mathematics and Statistics,True,4008.731954
56866289400,Marcello-Machado R.M.,Biology,8848791800,Melo A.C.M.,Biology,True,4002.035371
56193664600,Jamcoski V.H.,Biology,56866289400,Marcello-Machado R.M.,Biology,True,4002.035371
56054058000,Fontão F.N.G.K.,Biology,56866289400,Marcello-Machado R.M.,Biology,True,4002.035371
57190572638,Mayrink J.,Medicine and Health,6602680085,Cecatti J.G.,Medicine and Health,True,4001.96132
57191380271,Buttignol T.E.T.,Engineering,57226316838,Mohammadizadeh S.M.,Engineering,True,4000.349804
57163083200,Serafim M.,Social Sciences,57201153334,Cazeri G.T.,Economics and Business,False,3998.738735
57192962427,Hax G.R.T.,Engineering,9276345800,Nassif A.,Engineering,True,3997.291149
58632909100,Misaki Soares M.K.,Biology,6506398380,Appezzato-da-Glória B.,Biology,True,3995.832422
57196005814,Rasera J.B.,Biology,6506398380,Appezzato-da-Glória B.,Biology,True,3995.832422
56326247200,Nogueira-Júnior A.F.,Biology,6506398380,Appezzato-da-Glória B.,Biology,True,3995.832422
57192201395,Pontes J.G.d.M.,Biology,57218257206,dos Santos R.V.,Medicine and Health,False,3995.699144
23391167300,Ximenes L.R.,Computer Science,58308740100,de Sousa Silva L.,Tie: Computer Science | Undefined,False,3993.533604
23391167300,Ximenes L.R.,Computer Science,57743402400,Laredo B.A.,Computer Science,True,3993.533604
23391167300,Ximenes L.R.,Computer Science,59436117900,Alves M.F.,Computer Science,True,3993.033604
23391167300,Ximenes L.R.,Computer Science,59319235600,Gonçalves P.,Tie: Computer Science | Social Sciences,False,3993.033604
