author_id:ID(Author),author_name,university,city,author_primary_macroarea,author_macroareas,author_topics,article_count:int,:LABEL
57190122636,da Silva A.N.F.,Universidade Federal Rural de Pernambuco,Recife,Geosciences,Geosciences | Computer Science,"Geography, Planning and Development | Environmental Science (all) | Geophysics | Earth-Surface Processes | Computers in Earth Sciences | Atmospheric Science",1,Author
57190124136,Usmani Z.,University of Science and Technology,,Biology,Biology | Engineering | Economics and Business | Chemistry | Geosciences,"Business, Management and Accounting (all) | Biochemistry, Genetics and Molecular Biology (all) | Agricultural and Biological Sciences (all) | Chemical Engineering (all) | Environmental Science (all) | Engineering (all)",1,Author
57190126621,Borovac-Pinheiro A.,Massachusetts General Hospital,Boston,Medicine and Health,Medicine and Health,"Obstetrics and Gynecology | Nephrology | Public Health, Environmental and Occupational Health | Anesthesiology and Pain Medicine",11,Author
57190127838,Côa F.,Laboratório Nacional de Nanotecnologia,Campinas,Engineering,Engineering | Undefined | Medicine and Health,"Materials Science (miscellaneous) | Safety, Risk, Reliability and Quality | Safety Research | Public Health, Environmental and Occupational Health",1,Author
57190130255,Valente G.,Université Lumière Lyon 2,Lyon,Social Sciences,Social Sciences | Philosophy and Humanities,Gender Studies | Cultural Studies | Education,1,Author
57190135881,Natori W.,Universidade Estadual de Campinas,Campinas,Physics,Physics | Engineering,"Electronic, Optical and Magnetic Materials | Condensed Matter Physics",2,Author
57190139805,Nader E.,Laboratoire Interuniversitaire de Biologie de la Motricité,Saint-Priest-en-Jarez,Tie: Biology | Medicine and Health,Biology | Medicine and Health,Physiology | Physiology (medical),1,Author
57190140125,Leopardi H.,National Institute of Standards and Technology,Gaithersburg,Engineering,Engineering | Physics,"Electronic, Optical and Magnetic Materials | Mechanics of Materials",1,Author
57190161182,Grégoire N.,"Centre d'Optique, Photonique et Laser",Quebec,Engineering,Engineering | Physics | Chemistry | Computer Science | Biology,"Analytical Chemistry | Information Systems | Atomic and Molecular Physics, and Optics | Biochemistry | Instrumentation | Electrical and Electronic Engineering | Electronic, Optical and Magnetic Materials | Mechanics of Materials",2,Author
57190164751,Skarzynska M.B.,Institute of Sensory Organs,"Nadarzyn, Warsaw",Medicine and Health,Medicine and Health | Geosciences | Biology | Physics,"Pediatrics, Perinatology and Child Health | Ecology, Evolution, Behavior and Systematics | Biochemistry, Genetics and Molecular Biology (all) | Space and Planetary Science | Paleontology | Neuroscience (all) | Pollution | Public Health, Environmental and Occupational Health | Health, Toxicology and Mutagenesis",5,Author
57190166582,Figallo-Orellano A.,Universidad Nacional del Sur,Bahia Blanca,Philosophy and Humanities,Philosophy and Humanities | Computer Science | Mathematics and Statistics | Arts,Logic | Philosophy | Applied Mathematics | Computer Science (all) | Artificial Intelligence | Theoretical Computer Science | Software | Arts and Humanities (miscellaneous) | Hardware and Architecture | History and Philosophy of Science,7,Author
57190167355,Filho P.L.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Medicine (all),1,Author
57190167574,Teixeira R.M.P.,Universidade Federal de Goiás,Goiania,Physics,Physics | Engineering,"Electronic, Optical and Magnetic Materials | Condensed Matter Physics",1,Author
57190169114,Henck J.M.M.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Engineering,Engineering | Chemistry | Biology,Food Science | Industrial and Manufacturing Engineering,1,Author
57190169591,Crucello J.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry | Biology | Physics,"Analytical Chemistry | Spectroscopy | Biochemistry, Genetics and Molecular Biology (all) | Biochemistry | Organic Chemistry",6,Author
57190171149,Brandão A.F.,Universidade Estadual de Campinas,Campinas,Computer Science,Computer Science,Software | Human-Computer Interaction | Computer Vision and Pattern Recognition | Computer Networks and Communications | Theoretical Computer Science | Computer Science (all) | Computer Science (miscellaneous),4,Author
57190174044,Caldeirão L.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry | Biology | Engineering,Analytical Chemistry | Biochemistry | Organic Chemistry | Filtration and Separation,3,Author
57190176186,de Paiva R.E.F.,Universidade de São Paulo,Sao Paulo,Chemistry,Chemistry,Chemistry (all) | Physical and Theoretical Chemistry | Inorganic Chemistry | Materials Chemistry,1,Author
