:START_ID(Author),:END_ID(Author),weight:int,:TYPE
12761692600,56521468700,1,COAUTHORED_WITH
12762025200,54080224900,5,COAUTHORED_WITH
12762025200,54389051200,1,COAUTHORED_WITH
12762025200,54398879700,1,COAUTHORED_WITH
12762025200,55757226300,1,COAUTHORED_WITH
12762025200,56736635000,4,COAUTHORED_WITH
12762025200,57192981765,1,COAUTHORED_WITH
12762025200,57202506542,2,COAUTHORED_WITH
12762025200,57205674692,3,COAUTHORED_WITH
12762025200,57208886172,1,COAUTHORED_WITH
12762025200,57214444776,1,COAUTHORED_WITH
12762025200,57217089468,1,COAUTHORED_WITH
12762025200,57222536197,2,COAUTHORED_WITH
12762025200,57695381000,1,COAUTHORED_WITH
12762025200,57876599700,1,COAUTHORED_WITH
12762025200,59346889200,1,COAUTHORED_WITH
12762025200,59347161100,1,COAUTHORED_WITH
12762025200,59474177800,1,COAUTHORED_WITH
12762025200,60263041700,1,COAUTHORED_WITH
12762025200,6506286122,8,COAUTHORED_WITH
12765627300,57193211523,1,COAUTHORED_WITH
12765627300,57219479053,1,COAUTHORED_WITH
12765627300,57414650500,1,COAUTHORED_WITH
12765627300,57665838300,1,COAUTHORED_WITH
12765627300,57817452700,5,COAUTHORED_WITH
12765627300,7005805478,1,COAUTHORED_WITH
12765627300,8346575600,7,COAUTHORED_WITH
12768970800,29767703100,1,COAUTHORED_WITH
12768970800,58825631700,1,COAUTHORED_WITH
12768970800,59908223900,1,COAUTHORED_WITH
12768970800,7203086937,1,COAUTHORED_WITH
12770180400,23098481800,1,COAUTHORED_WITH
12770180400,36503653200,1,COAUTHORED_WITH
12770180400,57214590312,1,COAUTHORED_WITH
12770180400,57219443798,1,COAUTHORED_WITH
12772134600,13403199800,1,COAUTHORED_WITH
12772134600,16244771400,1,COAUTHORED_WITH
12772134600,54404073700,1,COAUTHORED_WITH
